  0	  0	255
 54	  5	255
  2	208	244
  1	206	252
179	198	244
  1	208	248
  0	201	253
  0	199	249
  0	202	253
179	201	249
  0	200	247
  0	199	248
  0	  0	253
  0	  0	254
 70	  3	255
  2	207	245
  0	204	253
179	197	245
  1	206	248
  0	199	254
  0	199	251
  0	201	254
 90	  1	255
  2	206	245
  0	201	250
  0	198	246
  1	203	247
  0	202	255
178	198	245
  1	204	249
  0	201	249
  0	204	254
  0	205	253
150	  1	255
  1	203	248
  0	203	255
178	199	246
  1	205	248
  0	202	252
  0	200	250
  0	198	245
  0	199	244
178	200	245
179	199	251
150	  2	255
  1	204	248
  1	206	249
  0	200	253
  0	198	248
  0	199	247
  1	203	249
179	198	246
  0	200	252
  0	201	251
 38	  4	255
179	203	251
  0	202	251
179	198	249
  0	198	250
 83	  4	255
 75	  2	255
173	  4	255
  0	204	251
179	204	254
179	191	248
  2	215	249
  0	206	247
  0	196	248
  3	213	255
  0	202	248
  1	195	235
179	206	248
  1	213	255
178	199	255
178	203	247
  0	203	246
 30	  4	255
  0	202	237
179	201	255
  0	191	255
  2	211	242
179	199	252
178	201	254
179	196	246
  1	202	249
179	195	243
  0	205	244
  1	197	242
  1	208	242
178	210	245
178	202	255
178	211	255
179	202	253
179	202	252
  5	 12	255
179	200	251
  1	201	252
  2	214	241
  1	205	255
  0	203	253
  3	206	238
  1	204	250
  0	201	247
  0	202	246
 90	  8	255
176	219	241
177	205	255
179	203	248
178	202	248
  1	202	242
179	199	245
  0	198	252
 29	 21	254
  0	185	230
  1	204	245
  1	192	223
179	193	244
  0	204	255
179	206	254
  0	204	252
  0	203	254
150	  9	255
 26	  7	255
 66	 15	255
  9	 13	255
150	  4	255
 93	 10	255
 19	 14	255
 28	 18	255
 81	 17	255
163	 12	255
 30	  5	255
178	 12	255
 90	  4	255
 46	 11	255
 23	 24	255
105	  4	255
 75	  8	255
 19	 11	255
 80	 15	255
 11	 11	255
 90	 13	255
 40	 18	255
110	  3	255
102	  5	255
150	  7	255
 96	  5	255
 35	  6	252
 45	  2	255
135	  6	255
 21	  7	255
 92	 13	255
 90	  3	255
 15	  2	255
120	  1	255
 48	  5	255
 22	 23	255
  2	184	232
179	203	240
178	203	255
  0	198	237
179	192	243
179	196	255
  0	198	240
176	212	253
178	183	243
158	 16	255
 66	  5	254
  0	  4	255
105	  6	255
150	  3	255
150	 16	255
 39	 15	246
 90	  6	255
  6	  5	252
 90	 11	255
 53	  4	255
 13	  7	255
 26	 32	245
 25	  6	253
 73	  9	254
  0	  2	255
179	202	241
178	208	255
179	197	253
  1	208	249
179	205	255
  1	208	252
  0	203	252
  0	200	255
  1	207	240
 69	  7	255
143	  4	255
 90	 27	255
 63	 21	255
 66	219	165
 69	255	158
 69	255	161
 67	246	164
 69	255	166
 67	247	156
 68	245	160
 69	255	162
 72	255	161
 70	241	164
 81	 24	255
 30	  9	255
150	  8	255
 75	  2	253
178	204	255
  0	193	255
  2	204	231
  2	206	255
  0	197	255
  2	207	239
  1	200	254
 76	 11	255
159	  7	255
 60	  4	255
165	  4	255
 47	  7	255
 11	  8	255
 69	252	152
 70	255	166
 68	241	166
 67	252	164
 68	255	163
 68	242	162
 69	247	166
 69	252	163
 67	255	161
 81	 10	255
160	  6	255
 84	 10	255
  0	196	239
  1	206	251
  2	214	249
  2	215	253
  0	203	240
179	207	252
150	  5	255
105	  2	255
 60	  6	255
 10	  6	255
 16	 11	255
 70	255	169
 69	255	167
 67	255	152
 66	255	159
 68	243	171
 68	255	160
 68	255	164
 67	224	163
 68	255	165
170	  3	255
174	  5	255
 90	 14	255
173	  9	255
179	196	238
  0	194	255
  0	195	250
177	205	245
178	196	255
178	201	251
  1	199	246
  1	199	243
  0	  0	252
 84	 15	251
 95	 13	255
 71	255	166
 69	255	160
 67	234	161
 67	229	165
 70	255	153
 69	250	161
 69	255	164
 68	255	157
 69	255	169
150	  6	255
 72	  5	255
 80	  6	255
 71	  8	255
162	  5	255
179	198	253
  2	209	237
  1	200	245
178	200	255
  1	206	244
  0	207	255
179	209	255
 23	  4	255
 80	  9	255
 98	 15	255
 68	  8	255
 67	255	160
 68	255	166
 70	253	164
 68	255	167
 68	253	162
 69	252	166
 70	254	170
130	  3	255
 30	  2	255
  1	202	251
178	202	250
  1	204	246
  1	206	255
179	200	249
  0	191	238
 20	  3	254
169	 11	255
 18	  5	255
 68	242	158
 68	244	160
 71	249	160
 68	255	158
 68	239	163
 69	253	163
 68	255	161
  0	201	252
  0	198	249
 75	  4	255
 69	252	160
 69	253	164
 69	253	161
 69	255	163
 20	  3	255
  1	204	251
  2	211	247
177	208	255
  1	210	254
178	198	247
179	200	250
  1	207	248
100	  3	255
 26	 20	254
 26	 14	255
 73	250	149
 66	242	162
 67	255	164
 69	255	165
 69	243	164
 69	253	162
 66	249	170
 30	 18	255
161	  8	255
 90	 12	255
  0	200	244
  2	203	241
178	207	249
